term,language,sightings,offensiveness,source,label,source_url,filter_group,filter_name,target_category,showing_range,coverage_note,text
bull dykes (plural of bull dyke),English,"1,119 sightings",-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] bull dykes (plural of bull dyke): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 1,119 sightings."
butt pirate,English,"2,678 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] butt pirate: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 2,678 sightings."
butt pirates (plural of butt pirate),English,"2,074 sightings",Moderately offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] butt pirates (plural of butt pirate): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Moderately offensive. Sightings: 2,074 sightings."
chi chi bwoy (variant of chi chi man),English,60 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] chi chi bwoy (variant of chi chi man): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 60 sightings.
chi chi bwoys (plural of chi chi bwoy),English,4 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] chi chi bwoys (plural of chi chi bwoy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 4 sightings.
chi chi man,English,30 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] chi chi man: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 30 sightings.
chi chi men (plural of chi chi man),English,5 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] chi chi men (plural of chi chi man): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 5 sightings.
closet dyke (variant of closet fag),English,117 sightings,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closet dyke (variant of closet fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Moderately offensive. Sightings: 117 sightings.
closet dykes (variant of closet fag) (plural of closet dyke),English,28 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closet dykes (variant of closet fag) (plural of closet dyke): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 28 sightings.
closet fag,English,457 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closet fag: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 457 sightings.
closet fags (plural of closet fag),English,261 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closet fags (plural of closet fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 261 sightings.
closetfag (variant of closet fag),English,14 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closetfag (variant of closet fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 14 sightings.
closetfags (plural of closetfag),English,12 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] closetfags (plural of closetfag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 12 sightings.
cocksucker,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] cocksucker: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: -.
cocksuckers (plural of cocksucker),English,-,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] cocksuckers (plural of cocksucker): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: -.
dyke,English,"1,632 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] dyke: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 1,632 sightings."
dykes (plural of dyke),English,"1,243 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] dykes (plural of dyke): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 1,243 sightings."
fag,English,"2,599 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] fag: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 2,599 sightings."
fagbag,English,"1,517 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] fagbag: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 1,517 sightings."
fagbags (plural of fagbag),English,204 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fagbags (plural of fagbag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 204 sightings.
fagdick (variant of fag),English,3 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fagdick (variant of fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 3 sightings.
fagdicks (variant of fag) (plural of fagdick),English,-,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fagdicks (variant of fag) (plural of fagdick): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: -.
faggot (variant of fag),English,"4,882 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] faggot (variant of fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 4,882 sightings."
faggots (plural of faggot),English,"2,889 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] faggots (plural of faggot): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 2,889 sightings."
faggy (variant of fag),English,"2,510 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] faggy (variant of fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 2,510 sightings."
fags (plural of fag),English,-,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fags (plural of fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: -.
fagshit (variant of fag),English,66 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fagshit (variant of fag): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 66 sightings.
fagshits (variant of fag) (plural of fagshit),English,-,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fagshits (variant of fag) (plural of fagshit): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: -.
fairies (plural of Fairy),English,-,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fairies (plural of Fairy): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: -.
Fairy,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] Fairy: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: -.
fruit,English,1 sighting,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fruit: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Moderately offensive. Sightings: 1 sighting.
fruities (variant of fruit) (plural of fruity),English,814 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fruities (variant of fruit) (plural of fruity): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 814 sightings.
fruits (plural of fruit),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fruits (plural of fruit): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Moderately offensive. Sightings: -.
fruity (variant of fruit),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fruity (variant of fruit): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Moderately offensive. Sightings: -.
fudgepacker,English,"1,573 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,"[hate] fudgepacker: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 1,573 sightings."
fudgepackers (plural of fudgepacker),English,809 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] fudgepackers (plural of fudgepacker): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 809 sightings.
gay,English,1 sighting,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] gay: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Extremely offensive. Sightings: 1 sighting.
gay mafia,English,938 sightings,-,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] gay mafia: Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: -. Sightings: 938 sightings.
gaylord (variant of gay),English,189 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,sexual_orientation,homosexuals,Homosexuals,Showing 1 - 50 of 68 results,selected_english_filters,[hate] gaylord (variant of gay): Hatebase entry. Target category: Homosexuals. Filter group: sexual_orientation. Language: English. Offensiveness: Highly offensive. Sightings: 189 sightings.
Beckies (plural of Becky),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] Beckies (plural of Becky): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
Becky,English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] Becky: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
Beckys (plural of Becky),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] Beckys (plural of Becky): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
bimbo,English,356 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] bimbo: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Mildly offensive. Sightings: 356 sightings.
bint (variant of bitch),English,300 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] bint (variant of bitch): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Mildly offensive. Sightings: 300 sightings.
bints (plural of bint),English,918 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] bints (plural of bint): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Mildly offensive. Sightings: 918 sightings.
bird,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] bird: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Mildly offensive. Sightings: -.
birds (plural of bird),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] birds (plural of bird): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Mildly offensive. Sightings: -.
bitch,English,"2,428 sightings",Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,"[hate] bitch: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: 2,428 sightings."
bitches (plural of bitch),English,"2,626 sightings",Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,"[hate] bitches (plural of bitch): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: 2,626 sightings."
cock tease,English,282 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] cock tease: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 282 sightings.
conchuda (variant of cunt),English,133 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] conchuda (variant of cunt): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 133 sightings.
conchudas (plural of conchuda),English,80 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] conchudas (plural of conchuda): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 80 sightings.
cunt,English,2 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] cunt: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 2 sightings.
cunter (variant of cunt),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] cunter (variant of cunt): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: -.
cunts (plural of cunt),English,"1,432 sightings",Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,"[hate] cunts (plural of cunt): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 1,432 sightings."
dagettes (variant of dago) (plural of dagette),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] dagettes (variant of dago) (plural of dagette): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
degette (variant of dago),English,15 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] degette (variant of dago): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 15 sightings.
degettes (variant of dago) (plural of degette),English,1 sighting,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] degettes (variant of dago) (plural of degette): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 1 sighting.
dinkladies (variant of dink) (plural of dinklady),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] dinkladies (variant of dink) (plural of dinklady): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
dinklady (variant of dink),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] dinklady (variant of dink): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
feminazi,English,204 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] feminazi: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 204 sightings.
feminazis (plural of feminazi),English,125 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] feminazis (plural of feminazi): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 125 sightings.
FGM,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] FGM: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: -.
gash,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] gash: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: -.
gasher (variant of gash),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] gasher (variant of gash): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
gashes (plural of gash),English,-,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] gashes (plural of gash): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: -.
Girl,English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] Girl: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: -.
gookettes (variant of gook) (plural of gookette),English,10 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] gookettes (variant of gook) (plural of gookette): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 10 sightings.
ho,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] ho: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: -.
hoe (variant of ho),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] hoe (variant of ho): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: -.
hoes (plural of hoe),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] hoes (plural of hoe): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: -.
hos (plural of ho),English,114 sightings,-,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] hos (plural of ho): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: -. Sightings: 114 sightings.
kunt (variant of cunt),English,126 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] kunt (variant of cunt): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: 126 sightings.
muslimette,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] muslimette: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: -.
mutah (variant of muttah),English,263 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] mutah (variant of muttah): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 263 sightings.
muttah,English,183 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] muttah: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Extremely offensive. Sightings: 183 sightings.
pussies (plural of pussy),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] pussies (plural of pussy): Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: -.
pussy,English,17 sightings,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] pussy: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Moderately offensive. Sightings: 17 sightings.
scag,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,gender,female,Female,Showing 1 - 50 of 64 results,selected_english_filters,[hate] scag: Hatebase entry. Target category: Female. Filter group: gender. Language: English. Offensiveness: Highly offensive. Sightings: -.
